id,streetid,source,layer,name,housenumber,street,city,zipcode,length,lat,lon
"GRB:1132170","24222","GRB","street","Domentseweg","","Domentseweg","Asse","1730","104.93","50.91680094529475","4.139514064588364"
"GRB:1134329","24227","GRB","street","Dorpveld","","Dorpveld","Asse","1730","166.95","50.92419340716857","4.1541598749299125"
"GRB:1115235","27920","GRB","street","Baardegemstraat","","Baardegemstraat","Opwijk","1745","370.16","50.95215006103468","4.158438230612108"
"GRB:1108702","27979","GRB","street","Lepelstraat","","Lepelstraat","Opwijk","1745","41.66","50.944307152681965","4.1612563843720105"
"GRB:740251","28022","GRB","street","Stwg. op Aalst","","Stwg. op Aalst","Opwijk","1745","119.94","50.95878972856537","4.152878653077165"
"GRB:1132974","31357","GRB","street","Aalsterse Dreef","","Aalsterse Dreef","Affligem","1790","374.32","50.92818135384987","4.107384881818053"
"GRB:1130878","31377","GRB","street","Broekstraat","","Broekstraat","Affligem","1790","221.33","50.92017561328407","4.129101465027651"
"GRB:1136493","31380","GRB","street","Brusselbaan","","Brusselbaan","Affligem","1790","49.28","50.915974492481325","4.092673721342971"
"GRB:1132046","31391","GRB","street","Domentstraat","","Domentstraat","Affligem","1790","416.21","50.921806115407975","4.126610327569867"
"GRB:737236","31393","GRB","street","Donkerstraat","","Donkerstraat","Affligem","1790","378.68","50.907096855948154","4.0954817239910115"
"GRB:1141409","31428","GRB","street","Kluisdreef","","Kluisdreef","Affligem","1790","14.84","50.925163186738644","4.089497668198429"
"GRB:1106038","31478","GRB","street","Tenbos","","Tenbos","Affligem","1790","180.26","50.904774729500794","4.090140595147129"
"GRB:1122495","61448","GRB","street","1 Meistraat","","1 Meistraat","Aalst","9300","143.96","50.94225936324753","4.045040653817212"
"GRB:1182512","61451","GRB","street","Aartstraat","","Aartstraat","Aalst","9300","208.45","50.97750432389716","4.063439722401448"
"GRB:1143162","61452","GRB","street","Abbeelstraat","","Abbeelstraat","Aalst","9300","117.87","50.94496355980428","4.024246016785442"
"GRB:1139903","61453","GRB","street","Abdijstraat","","Abdijstraat","Aalst","1790","131.75","50.92105931350723","4.133302820264671"
"GRB:1095147","61454","GRB","street","Abrahamsweg","","Abrahamsweg","Aalst","9300","100.62","50.94702385192283","4.098775781412862"
"GRB:1186425","61457","GRB","street","Acaciastraat","","Acaciastraat","Aalst","9300","127.28","50.93200747159929","4.040590085306136"
"GRB:1114348","61458","GRB","street","Achterbremt","","Achterbremt","Aalst","9300","170.4","50.91878173213275","3.9882230663072074"
"GRB:1093195","61459","GRB","street","Achtermaal","","Achtermaal","Aalst","9300","209.75","50.93533790361626","3.998799291531112"
"GRB:1150410","61460","GRB","street","Achterstraat","","Achterstraat","Aalst","9300","233.13","50.94615514737017","4.124732070145117"
